_url,_position,constituency,party,candidate,votes,votes/_source,share,share/_source
http://www.bbc.co.uk/news/politics/constituencies/E14001047,9,"The Evolution Party (TEP) , with candidate Angela Woolford , have the following results: 41 total votes taken. 0.1% share of the total vote +0.1% change in share of the votes",(TEP),", with candidate Angela Woolford",41,41,0.1,0.1
http://www.bbc.co.uk/news/politics/constituencies/E14001049,1,Wolverhampton North East,,,,,,
http://www.bbc.co.uk/news/politics/constituencies/E14001049,2,"Labour (LAB) , with candidate Emma Reynolds , have the following results: 15,669 total votes taken. 46.1% share of the total vote +4.7% change in share of the votes",(LAB),", with candidate Emma Reynolds",15669,"15,669",46.1,46.1
http://www.bbc.co.uk/news/politics/constituencies/E14001049,3,"Conservative (CON) , with candidate Darren Henry , have the following results: 10,174 total votes taken. 29.9% share of the total vote -4.4% change in share of the votes",(CON),", with candidate Darren Henry",10174,"10,174",29.9,29.9
http://www.bbc.co.uk/news/politics/constituencies/E14001049,4,"UKIP (UKIP) , with candidate Star Etheridge , have the following results: 6,524 total votes taken. 19.2% share of the total vote +15.9% change in share of the votes",(UKIP),", with candidate Star Etheridge",6524,"6,524",19.2,19.2
http://www.bbc.co.uk/news/politics/constituencies/E14001049,5,"Liberal Democrat (LD) , with candidate Ian Jenkins , have the following results: 935 total votes taken. 2.7% share of the total vote -10.8% change in share of the votes",(LD),", with candidate Ian Jenkins",935,935,2.7,2.7
http://www.bbc.co.uk/news/politics/constituencies/E14001049,6,"Green Party (GRN) , with candidate Becky Cooper , have the following results: 701 total votes taken. 2.1% share of the total vote +2.1% change in share of the votes",(GRN),", with candidate Becky Cooper",701,701,2.1,2.1
http://www.bbc.co.uk/news/politics/constituencies/E14000663,1,Derby South,,,,,,
http://www.bbc.co.uk/news/politics/constituencies/E14000663,2,"Labour (LAB) , with candidate Margaret Beckett , have the following results: 20,007 total votes taken. 49.0% share of the total vote +5.7% change in share of the votes",(LAB),", with candidate Margaret Beckett",20007,"20,007",49,49
http://www.bbc.co.uk/news/politics/constituencies/E14000663,3,"Conservative (CON) , with candidate Evonne Williams , have the following results: 11,179 total votes taken. 27.4% share of the total vote -1.1% change in share of the votes",(CON),", with candidate Evonne Williams",11179,"11,179",27.4,27.4
http://www.bbc.co.uk/news/politics/constituencies/E14000663,4,"UKIP (UKIP) , with candidate Victor Webb , have the following results: 6,341 total votes taken. 15.5% share of the total vote +11.1% change in share of the votes",(UKIP),", with candidate Victor Webb",6341,"6,341",15.5,15.5
http://www.bbc.co.uk/news/politics/constituencies/E14000663,5,"Liberal Democrat (LD) , with candidate Joe Naitta , have the following results: 1,717 total votes taken. 4.2% share of the total vote -16.3% change in share of the votes",(LD),", with candidate Joe Naitta",1717,"1,717",4.2,4.2
http://www.bbc.co.uk/news/politics/constituencies/E14000663,6,"Green Party (GRN) , with candidate David Foster , have the following results: 1,208 total votes taken. 3.0% share of the total vote +3.0% change in share of the votes",(GRN),", with candidate David Foster",1208,"1,208",3,3
